KOI_ID, KID, teff, Prot, Prot_err
0012 005812701 6419.0 01.245 0.124
0100 004055765 6440.0 01.131 0.0
0244 004349452 6500.0 23.147 0.039
0268 003425851 6500.0 07.873 0.001
0269 007670943 6258.0 05.274 0.033
0302 003662838 6711.0 05.494 0.0
0318 008156120 6366.0 04.919 0.007
0333 010337258 6310.0 06.886 0.176
0673 007124613 6338.0 004.79 0.172
1010 001027438 6452.0 09.536 0.027
1445 011336883 6336.0 05.269 0.032
1474 012365184 6498.0 04.492 0.012
1701 007222086 7065.0 01.637 0.0
1944 002438513 6265.0 13.543 0.017
2042 009111849 6349.0 00.886 0.0
2047 011457726 6326.0 10.714 0.032
2228 010801100 6622.0 09.511 0.005
2303 004458082 6333.0 02.444 0.091
2370 005385304 6521.0 01.776 0.002
2398 006199056 6257.0 01.337 0.0
2457 009753154 6514.0 003.19 0.188
2623 010916600 6288.0 12.265 0.021
2696 011071200 6792.0 01.727 0.0
2722 007673192 6301.0 08.959 0.114
3060 011019987 6299.0 013.13 0.249
