#for teff > 6250, Rpl < 4 Rearth, and no weird flag.
#kepid	koi	teff	prot	Rpl	Porb
4349452	  244	6500	 23.15	  3.40	  6.2390
3425851	  268	6500	  7.87	  1.73	110.3790
7670943	  269	6258	  5.27	  1.47	 18.0110
10337258  333	6310	  6.89	  2.50	 13.2850
7124613	  673	6338	  4.79	  2.25	  4.4170
11336883  1445	6336	  5.27	  1.28	  7.1690
7222086	  1701	7065	  1.64	  1.73	  2.4390
11457726  2047	6326	 10.71	  1.72	  6.2220
6199056	  2398	6257	  1.34	  1.80	  1.1690
9753154	  2457	6514	  3.19	  1.14	  3.7040
10916600  2623	6288	 12.27	  0.95	  5.5770
11071200  2696	6792	  1.73	  3.00	 44.5650
7673192	  2722	6301	  8.96	  1.18	  4.0290
11019987  3060	6299	 13.13	  1.03	  6.9130
